,Unnamed: 0,Name,Type,Family,Category,Material,FileName,NBR_COD,NBR_DESC
3506,3506,3E.04.60-Sistema de Comunicação - 25X25MM,3E.04.60-Sistema de Comunicação - 25X25MM,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
3538,3538,15X15X08,15X15X08,Tigre_-_Quadro_VDI,Equipamento elétrico,15X15X08,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
3539,3539,40x80,40x80,Tigre_-_Quadro_VDI,Equipamento elétrico,40x80,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
3541,3541,Ponto de Força Saida de Fio,Ponto de Força Saida de Fio,PADRAO_ELE_1.d_Ponto_de_Força_Saida_de_Fio_Conjunto_4x2_no_Teto,Dispositivos elétricos,Ponto de Força Saida de Fio,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
3552,3552,RJ45,RJ45,PADRAO_ELE_A2_Tomada_RJ11-RJ45_Conjunto_4x4,Dispositivos de comunicação,RJ45,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
3587,3587,PVC Corrugado Amarelo_Caixa de Luz 4x4,PVC Corrugado Amarelo_Caixa de Luz 4x4,PADRAO_ELE_A2_PVC_Corrugado_Amarelo_Caixa_Luz_4x1,Conexões do conduite,PVC Corrugado Amarelo_Caixa de Luz 4x4,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7575,7575,3E.04.60-Sistema de Comunicação - CAIXA DE PASSAGEM 107x52x50,3E.04.60-Sistema de Comunicação - CAIXA DE PASSAGEM 107x52x50,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7673,7673,3E.04.60-Sistema de Comunicação - 40mm,3E.04.60-Sistema de Comunicação - 40mm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7681,7681,3E.04.60-Sistema de Comunicação - 32mm,3E.04.60-Sistema de Comunicação - 32mm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7709,7709,3E.04.60-Sistema de Comunicação - 75mm,3E.04.60-Sistema de Comunicação - 75mm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7725,7725,"3E.04.60-Sistema de Comunicação - 2,5 x 2,5 cm","3E.04.60-Sistema de Comunicação - 2,5 x 2,5 cm",Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7757,7757,100 2,100 2,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7762,7762,"3E.04.60-Sistema de Comunicação - 12,5 x 10cm","3E.04.60-Sistema de Comunicação - 12,5 x 10cm",Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7767,7767,3E.04.60-Sistema de Comunicação - 30 x 10cm,3E.04.60-Sistema de Comunicação - 30 x 10cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7785,7785,3E.04.60-Sistema de Comunicação - 40X40MM,3E.04.60-Sistema de Comunicação - 40X40MM,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7859,7859,3E.04.60-Sistema de Comunicação - 12.5 x 10cm,3E.04.60-Sistema de Comunicação - 12.5 x 10cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7862,7862,y,y,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7863,7863,300x0.95,300x0.95,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7865,7865,80x60cm,80x60cm,Caixa metálica abrigo medidores de gás,Peças hidrossanitárias,80x60cm,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7866,7866,Poste de luz,Poste de luz,Poste de luz 12-1000,Mobiliário,Poste de luz,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7868,7868,IIIIII,IIIIII,Tigre_-_Quadro_VDI,Equipamento elétrico,IIIIII,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7874,7874,100x100x12,100x100x12,Tigre_-_Quadro_VDI,Equipamento elétrico,100x100x12,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7876,7876,80X80,80X80,Tigre_-_Quadro_VDI,Equipamento elétrico,80X80,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7877,7877,2 MP,2 MP,Camera-Security-Samsung-2MP_Weatherproof_Network_Bullet,Dispositivos de segurança,2 MP,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7902,7902,Ponto RJ45,Ponto RJ45,PADRAO_ELE_A2_Tomada_RJ45_Conjunto_4x2,Dispositivos de comunicação,Ponto RJ45,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
7966,7966,3E.04.60-Sistema de Comunicação - 25x25CM,3E.04.60-Sistema de Comunicação - 25x25CM,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação - 25x25CM,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8018,8018,15x15x08cm,15x15x08cm,Tigre_-_Quadro_VDI,Equipamento elétrico,15x15x08cm,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8205,8205,3E.04.60-Sistema de Comunicação - CAIXA DE PASSAGEM 40X40X50CM,3E.04.60-Sistema de Comunicação - CAIXA DE PASSAGEM 40X40X50CM,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8211,8211,3E.04.60-Sistema de Comunicação - 4 x 4cm,3E.04.60-Sistema de Comunicação - 4 x 4cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8220,8220,3E.04.60-Sistema de Comunicação - 22 x 11cm,3E.04.60-Sistema de Comunicação - 22 x 11cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8224,8224,3E.04.60-Sistema de Comunicação - 8 x 4cm,3E.04.60-Sistema de Comunicação - 8 x 4cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8225,8225,3E.04.60-Sistema de Comunicação - 14 x 4cm,3E.04.60-Sistema de Comunicação - 14 x 4cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8226,8226,3E.04.60-Sistema de Comunicação - 32 x 4,3E.04.60-Sistema de Comunicação - 32 x 4,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8227,8227,3E.04.60-Sistema de Comunicação - 48 x 4,3E.04.60-Sistema de Comunicação - 48 x 4,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8228,8228,3E.04.60-Sistema de Comunicação - 45 x 4,3E.04.60-Sistema de Comunicação - 45 x 4,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8229,8229,3E.04.60-Sistema de Comunicação - 53 x 4,3E.04.60-Sistema de Comunicação - 53 x 4,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8230,8230,3E.04.60-Sistema de Comunicação - 56 x 4,3E.04.60-Sistema de Comunicação - 56 x 4,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8306,8306,3E.04.60-Sistema de Comunicação - 75X75MM,3E.04.60-Sistema de Comunicação - 75X75MM,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8322,8322,3E.04.60-Sistema de Comunicação - 32 x 4cm,3E.04.60-Sistema de Comunicação - 32 x 4cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8334,8334,100x100x12 2,100x100x12 2,Tigre_-_Quadro_VDI,Equipamento elétrico,100x100x12 2,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
8338,8338,"3E.04.20.00.00-Sistemas Hidrosanitários - 2,2 x 2,2 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 2,2 x 2,2 cm",Concreto-Viga retangular,Quadro estrutural,3E.04.20.00.00-Sistemas Hidrosanitários,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8343,8343,"3E.04.20.00.00-Sistemas Hidrosanitários - 7,3 x 7,3 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 7,3 x 7,3 cm",Concreto-Viga retangular,Quadro estrutural,3E.04.20.00.00-Sistemas Hidrosanitários,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8356,8356,3E.04.20.00.00-Sistemas Hidrosanitários - Ø105 mm,3E.04.20.00.00-Sistemas Hidrosanitários - Ø105 mm,Concreto-Redondo-Coluna,Pilares estruturais,3E.04.20.00.00-Sistemas Hidrosanitários,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8360,8360,"3E.04.20.00.00-Sistemas Hidrosanitários - 3,2 x 3,2 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 3,2 x 3,2 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8361,8361,"3E.04.20.00.00-Sistemas Hidrosanitários - 2,8 x 2,8 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 2,8 x 2,8 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8369,8369,"3E.04.20.00.00-Sistemas Hidrosanitários - 1,6 x 1,6 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 1,6 x 1,6 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8525,8525,3E.04.20.00.00-Sistemas Hidrosanitários - 2 x 2 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 2 x 2 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8773,8773,"3E.04.20.00.00-Sistemas Hidrosanitários - 2,5 x 2,5 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 2,5 x 2,5 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8785,8785,"3E.04.20.00.00-Sistemas Hidrosanitários - 7,5 x 7,5 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 7,5 x 7,5 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8797,8797,3E.04.20.00.00-Sistemas Hidrosanitários - 10 x 10 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 10 x 10 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-ESG-RGB 128-64-64,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8828,8828,3E.04.20.00.00-Sistemas Hidrosanitários - 15 x 15 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 15 x 15 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
8872,8872,3E.04.20.00.00-Sistemas Hidrosanitários - 5 x 5 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 5 x 5 cm,Concreto-Viga retangular,Quadro estrutural,3E.04.20.00.00-Sistemas Hidrosanitários - 5 x 5 cm,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9004,9004,3E.04.20.00.00-Sistemas Hidrosanitários - 4 x 4 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 4 x 4 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-ESG-RGB 128-64-64,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9125,9125,"3E.04.20.00.00-Sistemas Hidrosanitários - 8,9 x 8,9 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 8,9 x 8,9 cm",Concreto-Retangular-Coluna,Pilares estruturais,3E.04.20.00.00-Sistemas Hidrosanitários,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9126,9126,3E.04.20.00.00-Sistemas Hidrosanitários - 8 x 8 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 8 x 8 cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.20.00.00-Sistemas Hidrosanitários,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9128,9128,3E.04.20.00.00-Sistemas Hidrosanitários - 11 x 11 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 11 x 11 cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.20.00.00-Sistemas Hidrosanitários,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9317,9317,3E.04.20.00.00-Sistemas Hidrosanitários - 7.5 x 7.5 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 7.5 x 7.5 cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.20.00.00-Sistemas Hidrosanitários - GORDURA,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9508,9508,3E.04.20.00.00-Sistemas Hidrosanitários - 20 x 5 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 20 x 5 cm,Concreto-Viga retangular,Quadro estrutural,3E.04.20.00.00-Sistemas Hidrosanitários - 20 x 5 cm,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9922,9922,3E.04.20.00.00-Sistemas Hidrosanitários - 100 x 100 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 100 x 100 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9924,9924,"3E.04.20.00.00-Sistemas Hidrosanitários - 4,2 x 4,2 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 4,2 x 4,2 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9932,9932,3E.04.20.00.00-Sistemas Hidrosanitários - 22 x 22 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 22 x 22 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9934,9934,3E.04.20.00.00-Sistemas Hidrosanitários - 89 x 89 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 89 x 89 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9973,9973,3E.04.20.00.00-Sistemas Hidrosanitários - 32 x 32 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 32 x 32 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
9974,9974,3E.04.20.00.00-Sistemas Hidrosanitários - 20 x 20 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 20 x 20 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10055,10055,3E.04.20.00.00-Sistemas Hidrosanitários - Ø315 cm,3E.04.20.00.00-Sistemas Hidrosanitários - Ø315 cm,Concreto-Redondo-Coluna,Pilares estruturais,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10175,10175,"3E.04.20.00.00-Sistemas Hidrosanitários - 70 x 54,3 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 70 x 54,3 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-HID-RGB 0-0-255,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10187,10187,"3E.04.20.00.00-Sistemas Hidrosanitários - 80 x 73,3 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 80 x 73,3 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-ESG-RGB 128-64-64,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10188,10188,"3E.04.20.00.00-Sistemas Hidrosanitários - 100 x 124,3 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 100 x 124,3 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10189,10189,"3E.04.20.00.00-Sistemas Hidrosanitários - 100 x 100,03 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 100 x 100,03 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10190,10190,"3E.04.20.00.00-Sistemas Hidrosanitários - 80 x 121,3 cm","3E.04.20.00.00-Sistemas Hidrosanitários - 80 x 121,3 cm",Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10248,10248,3E.04.20.00.00-Sistemas Hidrosanitários - 20 x 10 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 20 x 10 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10249,10249,3E.04.20.00.00-Sistemas Hidrosanitários - 300 x 300 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 300 x 300 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-128-192,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10435,10435,3E.04.20.00.00-Sistemas Hidrosanitários - 30 x 50 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 30 x 50 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10436,10436,3E.04.20.00.00-Sistemas Hidrosanitários - 30 x 15 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 30 x 15 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10441,10441,3E.04.20.00.00-Sistemas Hidrosanitários - 40 x 40 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 40 x 40 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
10873,10873,3E.04.20.00.00-Sistemas Hidrosanitários - 30 x 30 cm,3E.04.20.00.00-Sistemas Hidrosanitários - 30 x 30 cm,Concreto-Viga retangular,Quadro estrutural,Shaft-DRE-RGB 0-64-0,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
11116,11116,Caixa de Inspeção de Alvenaria,Caixa de Inspeção de Alvenaria,ESG_Caixa de Inspeção de Alvenaria,Peças hidrossanitárias,Caixa de Inspeção de Alvenaria,MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
11122,11122,Argamassa Impermeável Rampa (Inspeção),Argamassa Impermeável Rampa (Inspeção),Argamassa Impermeável Rampa (Inspeção),Modelos genéricos,Argamassa Impermeável Rampa (Inspeção),MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
11140,11140,Argamassa Impermeável (Inspeção),Argamassa Impermeável (Inspeção),Argamassa Impermeável (Inspeção),Modelos genéricos,Argamassa Impermeável (Inspeção),MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
11146,11146,Revestimento Impemeabilizante (inspeção),Revestimento Impemeabilizante (inspeção),Revestimento Impemeabilizante (inspeção),Modelos genéricos,Revestimento Impemeabilizante (inspeção),MG.BHZ.044-BAR-HID-MOD-001-BASxxx-R02.nwc,,
11158,11158,3E-04-20-60-30-Sistema de Gás - 32 x 32cm,3E-04-20-60-30-Sistema de Gás - 32 x 32cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Gás,MG.BHZ.044-BAR-GAS-MOD-001-GERxxx-R01.nwc,,
11815,11815,3E-04-20-60-30-Sistema de Gás - 26 x 26cm,3E-04-20-60-30-Sistema de Gás - 26 x 26cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Gás,MG.BHZ.044-BAR-GAS-MOD-001-GERxxx-R01.nwc,,
11837,11837,3E-04-20-60-30-Sistema de Gás - 16 x 16cm,3E-04-20-60-30-Sistema de Gás - 16 x 16cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Gás,MG.BHZ.044-BAR-GAS-MOD-001-GERxxx-R01.nwc,,
11861,11861,3E-04-20-60-30-ABRIGO DE REGULADOR DE PRESSAO,3E-04-20-60-30-ABRIGO DE REGULADOR DE PRESSAO,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Gás,MG.BHZ.044-BAR-GAS-MOD-001-GERxxx-R01.nwc,,
12605,12605,3E-04-20-60-30-ABRIGO DE REGULADOR DE 1° ESTÁGIO,3E-04-20-60-30-ABRIGO DE REGULADOR DE 1° ESTÁGIO,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Gás,MG.BHZ.044-BAR-GAS-MOD-001-GERxxx-R01.nwc,,
12606,12606,3E-04-20-60-30-ABRIGO DE REGULADOR DE 2° ESTÁGIO,3E-04-20-60-30-ABRIGO DE REGULADOR DE 2° ESTÁGIO,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Gás,MG.BHZ.044-BAR-GAS-MOD-001-GERxxx-R01.nwc,,
12647,12647,Medidor de gás,Medidor de gás,Medidor de gás,Peças hidrossanitárias,Medidor de gás,MG.BHZ.044-BAR-GAS-MOD-001-GERxxx-R01.nwc,,
12648,12648,"0,45x0,70","0,45x0,70",Grelha Retangular,Terminais de ar,"0,45x0,70",MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12649,12649,"0,79x0,74","0,79x0,74",Grelha Retangular,Terminais de ar,"0,79x0,74",MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12650,12650,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 45X70 CM","3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 45X70 CM",Concreto-Viga retangular,Quadro estrutural,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC)",MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12651,12651,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 74x79cm","3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 74x79cm",Concreto-Viga retangular,Quadro estrutural,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC)",MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12653,12653,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 50X70 cm","3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 50X70 cm",Concreto-Viga retangular,Quadro estrutural,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC)",MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12655,12655,20.000 m³/h,20.000 m³/h,EXAUSTOR,Equipamento mecânico,20.000 m³/h,MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12656,12656,BBT - 900x810x1000,BBT - 900x810x1000,Ventilador - BBT,Equipamento mecânico,BBT - 900x810x1000,MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12657,12657,GRELHA DE INSUFLAMENTO / EXAUSTÃO COM REGISTRO,GRELHA DE INSUFLAMENTO / EXAUSTÃO COM REGISTRO,Grelha Retangular,Terminais de ar,GRELHA DE INSUFLAMENTO / EXAUSTÃO COM REGISTRO,MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12658,12658,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 50X50MM","3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 50X50MM",Concreto-Viga retangular,Quadro estrutural,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC)",MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12686,12686,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 20X20","3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 20X20",Concreto-Viga retangular,Quadro estrutural,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC)",MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
12690,12690,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 110X90","3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC) - 110X90",Concreto-Viga retangular,Quadro estrutural,"3E.04.30-Aquecimento, Ventilação e Ar Condicionado (AVAC)",MG.BHZ.044-BAR-CLI-MOD-001-GERxxx-R00.nwc,,
